Station,S/N,"Street
TS,466,Pik Tin Street,18,"Club House / Carpark, Granville Garden",Insitutional Building/Others (學校/醫院/其他用途),
TS,467,Mei Tin Road,1,"Club House, Festival City Iii",Insitutional Building/Others (學校/醫院/其他用途),
TS,468,Mei Tin Road,1,Clubhouse Festival City (Phase 2),Insitutional Building/Others (學校/醫院/其他用途),
TS,469,Hin Tin Street,3,Cuhk Faa Thomas Cheung Primary School,Insitutional Building/Others (學校/醫院/其他用途),
TS,470,,,Cuhk Federation Of Alumni Association Thomas Cheung School Ka Tin Court Hin Keng Estate,Insitutional Building/Others (學校/醫院/其他用途),
TS,471,Chik Chuen Street,,D.D. 180,Domestic Building (住宅),
TS,472,Tai Wai New Village,9,Dd 180 Lot 999,Domestic Building (住宅),
TS,473,Ha Keng Hau Village,89,Dd 189 Lot 1563,Domestic Building (住宅),
TS,474,Tung Lo Wan Hill Rd,1,Elchk Shatin Lutheran Kindergarten,Insitutional Building/Others (學校/醫院/其他用途),
TS,475,Mei Tin Road,1,Festival City - Clubhouse & Carpark,Insitutional Building/Others (學校/醫院/其他用途),
TS,476,Mei Tin Road,1,Festival City - Social Welfare Facility,Insitutional Building/Others (學校/醫院/其他用途),
TS,477,Mei Tin Road,1,Festival City (Phase 1) - Tower 1,Domestic Building (住宅),
TS,478,Mei Tin Road,1,Festival City (Phase 2) - Carpark & Shopping Arcad,Insitutional Building/Others (學校/醫院/其他用途),
TS,479,Mei Tin Road,1,"Tower 2 , Festival City (Phase 2)",Domestic Building (住宅),
TS,480,Mei Tin Road,1,"Tower 1, Festival City Iii",Domestic Building (住宅),
TS,481,Mei Tin Road,1,"Tower 2, Festival City Iii",Domestic Building (住宅),
TS,482,Mei Tin Road,1,"Tower 3, Festival City Iii",Domestic Building (住宅),
TS,483,Mei Tin Road,1,"Tower 5, Festival City Iii",Domestic Building (住宅),
TS,484,Mei Tin Road,1,Festival City Phase 3 Carpark Clubhouse,Insitutional Building/Others (學校/醫院/其他用途),
TS,485,Mei Tin Road,30,Free Methodist Mei Lam Primary School 循理會美林小學,Insitutional Building/Others (學校/醫院/其他用途),
TS,486,Fu Kin Street,,Fu Kin Street Public Toilet,Insitutional Building/Others (學校/醫院/其他用途),
TS,487,Yau On Street,10,Fu Shan Crematorium & Columbarium,Insitutional Building/Others (學校/醫院/其他用途),
TS,488,Yau On Street,10,Fu Shan Public Mortuary,Insitutional Building/Others (學校/醫院/其他用途),
TS,489,Shatin Heights Road,8,Godi 戈林 - Carpark,Insitutional Building/Others (學校/醫院/其他用途),
TS,490,Shatin Heights Road,8,"House 1, Godi",Domestic Building (住宅),
TS,491,Shatin Heights Road,8,"House 10, Godi",Domestic Building (住宅),
TS,492,Shatin Heights Road,8,"House 2, Godi",Domestic Building (住宅),
TS,493,Shatin Heights Road,8,"House 3, Godi",Domestic Building (住宅),
TS,494,Shatin Heights Road,8,"House 5, Godi",Domestic Building (住宅),
TS,495,Shatin Heights Road,8,"House 6, Godi",Domestic Building (住宅),
TS,496,Shatin Heights Road,8,"House 7, Godi",Domestic Building (住宅),
TS,497,Shatin Heights Road,8,"House 8, Godi",Domestic Building (住宅),
TS,498,Shatin Heights Road,8,"House 9, Godi",Domestic Building (住宅),
TS,499,Shatin Heights Road,8,"House A, Godi",Domestic Building (住宅),
TS,500,Shatin Heights Road,8,"House B, Godi",Domestic Building (住宅),
TS,501,Golden Lion Garden Phase 1,,Golden Lion Garden Phase 1,Domestic Building (住宅),
TS,502,Golden Lion Garden Phase Ii - Podium Block,,Golden Lion Garden Phase Ii - Podium Block,Domestic Building (住宅),
TS,503,Greenview Garden - Carpark,,Greenview Garden - Carpark,Insitutional Building/Others (學校/醫院/其他用途),
TS,504,Harmony Lodge - Carpark & Others,,Harmony Lodge - Carpark & Others,Insitutional Building/Others (學校/醫院/其他用途),
TS,505,Hin Tai Street,18,Hill Paramount 名家匯 - Podium,Domestic Building (住宅),
TS,506,Hin Tai Street,18,Hill Paramount 名家匯 - Block 1,Domestic Building (住宅),
TS,507,Hin Tai Street,18,Hill Paramount 名家匯 - Block 2,Domestic Building (住宅),
TS,508,Hin Tai Street,18,Hill Paramount 名家匯 - House 1,Domestic Building (住宅),
TS,509,Hin Tai Street,18,Hill Paramount 名家匯 - House 2,Domestic Building (住宅),
TS,510,Hin Tai Street,18,Hill Paramount 名家匯 - House 3,Domestic Building (住宅),
TS,511,Hin Tai Street,18,Hill Paramount 名家匯 - House 5,Domestic Building (住宅),
TS,512,Hin Tai Street,18,Hill Paramount 名家匯 - Podium,Domestic Building (住宅),
TS,513,Hin Tai Street,18,Hill Paramount 名家匯 - Block 1,Domestic Building (住宅),
TS,514,Hin Tai Street,18,Hill Paramount 名家匯 - Block 2,Domestic Building (住宅),
TS,515,Hin Tai Street,18,Hill Paramount 名家匯 - House 1,Domestic Building (住宅),
TS,516,Hin Tai Street,18,Hill Paramount 名家匯 - House 2,Domestic Building (住宅),
TS,517,Hin Tai Street,18,Hill Paramount 名家匯 - House 3,Domestic Building (住宅),
TS,518,Hin Tai Street,18,Hill Paramount 名家匯 - House 5,Domestic Building (住宅),
TS,519,Che Kung Miu Rd,69,Hin Keng Estate Hin Keng Cooked Food Stalls,Industrial Building/Godown (工廠大廈/倉庫),
TS,520,Che Kung Miu Rd,69,Hin Keng Estate - Eva / Access Road,Insitutional Building/Others (學校/醫院/其他用途),
TS,521,Che Kung Miu Rd,69,"Roof Of Hin Pui House, Hin Keng Estate",Domestic Building (住宅),
TS,522,Che Kung Miu Rd,69,Hin Keng Shopping Centre (Wing B) & Hin Keng Estate Multi-Storey Carpark With Hin Keng Market,Insitutional Building/Others (學校/醫院/其他用途),
TS,523,Chik Wan Street,2-8,Holford Shopping Centre,Insitutional Building/Others (學校/醫院/其他用途),
TS,524,Chik Fuk Street,76-82,Hong Lok House Block 1,Domestic Building (住宅),
TS,525,Chik Fuk Street,84-90,Hong Lok House Block 2,Domestic Building (住宅),
TS,526,Chik Fuk Street,92-100,Hong Lok House Block 3,Domestic Building (住宅),
TS,527,Tung Lo Wan Hill Road,8,House 2,Domestic Building (住宅),
TS,528,Tung Lo Wan Hill Road,8,House 3,Domestic Building (住宅),
TS,529,Tung Lo Wan Hill Road,8,House 5,Domestic Building (住宅),
TS,530,Tung Lo Wan Hill Road,8,House 6,Domestic Building (住宅),
TS,531,Tung Lo Wan Hill Road,8,House 7,Domestic Building (住宅),
TS,532,Tung Lo Wan Hill Road,8,House 8,Domestic Building (住宅),
TS,533,Tung Lo Wan Hill Road,8,House 9,Domestic Building (住宅),
TS,534,Mei Tin Road,1,Immaculate Heart Of Mary School,Insitutional Building/Others (學校/醫院/其他用途),
TS,535,Fu Kin Street,8-12,Julimount Garden - Carpark/Shops/Swimming Pool,Insitutional Building/Others (學校/醫院/其他用途),
TS,536,Hin Tin Street,3,Ka Tin Court Carpark Building,Insitutional Building/Others (學校/醫院/其他用途),
TS,537,Kak Tin Street,,Kak Tin Street Playground,Insitutional Building/Others (學校/醫院/其他用途),
TS,538,Tsuen Nam Road,53-63,Kam Cheung Building,Domestic Building (住宅),
TS,539,Tai Wai Road & Tai Wai Road,1-35 & 7-29,"Podium (Shops), Kam Shan Building",Domestic Building (住宅),
TS,540,10th Street Tai Wai Village,,Kelvin Education Centre,Insitutional Building/Others (學校/醫院/其他用途),
TS,541,Chui Tin Street,12,King Tin Court - Carpark,Insitutional Building/Others (學校/醫院/其他用途),
TS,542,Che Kung Miu Road,1,Koon Ngam Ching Yuen 古巖淨苑,Insitutional Building/Others (學校/醫院/其他用途),
TS,543,Yau On Street,21,Lakeview Garden - House A,Domestic Building (住宅),
TS,544,Yau On Street,21,Lakeview Garden - House B,Domestic Building (住宅),
TS,545,Yau On Street,21,Lakeview Garden - House C,Domestic Building (住宅),
TS,546,Yau On Street,21,Lakeview Garden - House D,Domestic Building (住宅),
TS,547,Yau On Street,21,Lakeview Garden - House E,Domestic Building (住宅),
TS,548,Yau On Street,21,Lakeview Garden - House F,Domestic Building (住宅),
TS,549,Yau On Street,21,Lakeview Garden - House G,Domestic Building (住宅),
TS,550,Yau On Street,21,Lakeview Garden - House H,Domestic Building (住宅),
TS,551,Yau On Street,21,Lakeview Garden - House J,Domestic Building (住宅),
TS,552,Yau On Street,21,Lakeview Garden - House K,Domestic Building (住宅),
TS,553,Yau On Street,21,Lakeview Garden - House L,Domestic Building (住宅),
TS,554,Yau On Street,21,Lakeview Garden - House M,Domestic Building (住宅),
TS,555,Yau On Street,21,Lakeview Garden - House N,Domestic Building (住宅),
TS,556,Yau On Street,21,Lakeview Garden - House P,Domestic Building (住宅),
TS,557,Yau On Street,21,Lakeview Garden - House Q,Domestic Building (住宅),
TS,558,Yau On Street,21,Lakeview Garden - House R,Domestic Building (住宅),
TS,559,Yau On Street,21,Lakeview Garden - House S,Domestic Building (住宅),
TS,560,Yau On Street,21,Lakeview Garden - House T,Domestic Building (住宅),
TS,561,Yau On Street,21,Lakeview Garden - House V,Domestic Building (住宅),
TS,562,Yau On Street,21,Lakeview Garden - House W,Domestic Building (住宅),
TS,563,Lion Rock Tunnel Road,7,Lion Rock Tunnel - 2nd Tube,Insitutional Building/Others (學校/醫院/其他用途),
TS,564,Lion Rock Tunnel Road,7,Lion Rock Tunnel - Fan House S1,Insitutional Building/Others (學校/醫院/其他用途),
TS,565,Lion Rock Tunnel Road,7,Lion Rock Tunnel - E&M Building,Insitutional Building/Others (學校/醫院/其他用途),
TS,566,Lion Rock Tunnel Road,7,Lion Rock Tunnel - Administration Building,Insitutional Building/Others (學校/醫院/其他用途),
TS,567,Lion Rock Tunnel Road,7,Lion Rock Tunnel - Clp Substation,Insitutional Building/Others (學校/醫院/其他用途),
TS,568,Lion Rock Tunnel Road,7,Lion Rock Tunnel - Fan House S2,Insitutional Building/Others (學校/醫院/其他用途),
TS,569,Tin Sum Street,1,Lung Hang Estate - Access Road,Insitutional Building/Others (學校/醫院/其他用途),
TS,570,Tin Sum Street,,Lung Hang Estate Office,Insitutional Building/Others (學校/醫院/其他用途),
TS,571,Mei Tin Road,32,May Shing Court Carpark,Insitutional Building/Others (學校/醫院/其他用途),
TS,572,Mei Tin Road,23-35,Mei Chung Court Multi-Storey Car Park Mei Chung Court,Insitutional Building/Others (學校/醫院/其他用途),
TS,573,Mei Mun Lane,,Mei Ying Court,Domestic Building (住宅),
TS,574,,,Mei Pak Court,Domestic Building (住宅),
TS,575,Heung Fan Liu Street,,Mei Tin Estate - Mei Tin Community Hall,Insitutional Building/Others (學校/醫院/其他用途),
TS,576,Heung Fan Liu Street,,Mei Tin Estate - Access Road,Insitutional Building/Others (學校/醫院/其他用途),
TS,577,Heung Fan Liu Street,,Mei Tin Estate - Carport Building,Insitutional Building/Others (學校/醫院/其他用途),
TS,578,Heung Fan Liu Street,,Mei Tin Estate - Eva,Insitutional Building/Others (學校/醫院/其他用途),
TS,579,Heung Fan Liu Street,,Mei Tin Estate - Kindergarter (Between Block 6&7),Insitutional Building/Others (學校/醫院/其他用途),
TS,580,Heung Fan Liu Street,,Mei Tin Estate - Mei Chi House (Block 4),Domestic Building (住宅),
TS,581,Heung Fan Liu Street,,Mei Tin Estate - Mei Chuen House (Block 8),Domestic Building (住宅),
TS,582,Heung Fan Liu Street,,Mei Tin Estate - Mei Lai House (Block 2),Domestic Building (住宅),
TS,583,Heung Fan Liu Street,,Mei Tin Estate - Mei Lok House (Block 5),Domestic Building (住宅),
TS,584,Heung Fan Liu Street,,Mei Tin Estate - Mei Mun House (Block 6),Domestic Building (住宅),
TS,585,Mei Mun Lane,9,Mei Tin Estate - Mei Tin Community Hall,Insitutional Building/Others (學校/醫院/其他用途),
TS,586,Heung Fan Liu Street,,Mei Tin Estate - Mei Ting House (Block 7),Domestic Building (住宅),
TS,587,Heung Fan Liu Street,,Mei Tin Estate - Rcp,Insitutional Building/Others (學校/醫院/其他用途),
TS,588,Heung Fan Liu Street,,Mei Tin Estate - Shops,Composite Building (綜合式樓宇),
TS,589,Heung Fan Liu Street,,Mei Tin Estate - Pti,Insitutional Building/Others (學校/醫院/其他用途),
TS,590,,,Mei Tin Estate - Mei King House (Block 3),Domestic Building (住宅),
TS,591,,,Mei Tin Estate - Mei Sau House (Block 1),Domestic Building (住宅),
TS,592,,,Mei Tin Estate - Mei Tin Shopping Centre,Composite Building (綜合式樓宇),
TS,593,Mei Tin Road,,Fibreglass Equipment Shelter At Yat Shing House,Insitutional Building/Others (學校/醫院/其他用途),
TS,594,Pak Shek Vilalge,,"Messrs Cheung Hing Laminating Cloth Factory, Pak Shek Vilalge, Tai Wai, Sha Tin, N.T.",Industrial Building/Godown (工廠大廈/倉庫),
TS,595,,,Mtr East Rail Line - Tai Wai Feeder Station,Insitutional Building/Others (學校/醫院/其他用途),
TS,596,,,Mtr Sha Tin Wai Station,Insitutional Building/Others (學校/醫院/其他用途),
TS,597,Mei Tin Rd,,Mtr Tai Wai Depot 1 Mei Tin Rd Tai Wai Sha Tin Nt Che Kung Miu Rd,Insitutional Building/Others (學校/醫院/其他用途),
TS,598,Che Kung Miu Rd,,Mtr Tai Wai Depot 1 Mei Tin Rd Tai Wai Sha Tin Nt Che Kung Miu Rd,Insitutional Building/Others (學校/醫院/其他用途),
TS,599,Che Kung Miu Rd,,Mtr Tai Wai Station - Pti,Insitutional Building/Others (學校/醫院/其他用途),
TS,600,Che Kung Miu Rd & Mei Tin Rd,,Mtr Tai Wai Station,Insitutional Building/Others (學校/醫院/其他用途),
TS,601,Off Lower Shing Mun Rd,,Fu Shan Crematorium,Insitutional Building/Others (學校/醫院/其他用途),
TS,602,,,Pak Tin North Pump House,Insitutional Building/Others (學校/醫院/其他用途),
TS,603,Hin Tai Street,8,"Club House & Carpark Including Basement, Parc Royale",Composite Building (綜合式樓宇),
TS,604,Mei Tin Road,63,Peak One 壹號雲頂 - Block 1,Domestic Building (住宅),
TS,605,Mei Tin Road,63,Peak One 壹號雲頂 - Block 2,Domestic Building (住宅),
TS,606,Mei Tin Road,63,Peak One 壹號雲頂 - Block 3,Domestic Building (住宅),
TS,607,Mei Tin Road,63,Peak One 壹號雲頂 - Block 5,Domestic Building (住宅),
TS,608,Mei Tin Road,63,Peak One 壹號雲頂 - Block 6,Domestic Building (住宅),
TS,609,Mei Tin Road,63,Peak One 壹號雲頂 - Block 7,Domestic Building (住宅),
TS,610,Mei Tin Road,63,Peak One 壹號雲頂 - Block 8,Domestic Building (住宅),
TS,611,Mei Tin Road,63,Peak One 壹號雲頂 - Block 9,Domestic Building (住宅),
TS,612,Mei Tin Road,63,Peak One 壹號雲頂 - Podium,Domestic Building (住宅),
TS,613,Shatin Heights Road,45,Peak View House,Domestic Building (住宅),
TS,614,,,Podium Club House - Peak House,Domestic Building (住宅),
TS,615,Pak Lok Path,18,Pristine Villa - South Carpark,Insitutional Building/Others (學校/醫院/其他用途),
TS,616,Pak Lok Path,18,Pristine Villa - Street Fire Hydrant,Insitutional Building/Others (學校/醫院/其他用途),
TS,617,Tai Wai New Village,1,Pui Kiu College - Lee Shau Kee Swimming Pool Complex,Insitutional Building/Others (學校/醫院/其他用途),
TS,618,Tsing Sha Highway,668,Route 8 - Tai Wai Administration Building,Insitutional Building/Others (學校/醫院/其他用途),
TS,619,,,Route 8 - Tai Wai Tunnel,Insitutional Building/Others (學校/醫院/其他用途),
TS,620,Tai Po Road,8003,Sha Tin Heights Block A,Domestic Building (住宅),
TS,621,Tai Po Road,8003,Sha Tin Heights Block B,Domestic Building (住宅),
TS,622,Tai Po Road,8003,Sha Tin Heights Block C,Domestic Building (住宅),
TS,623,Tai Po Road,8003,Sha Tin Heights Block E,Domestic Building (住宅),
TS,624,Tai Po Road,8003,Sha Tin Heights Block F,Domestic Building (住宅),
TS,625,Tai Po Road,8003,Sha Tin Heights Block G,Domestic Building (住宅),
TS,626,Tai Po Road,8003,Sha Tin Heights Block H,Domestic Building (住宅),
TS,627,Tsing Sha Highway,,Sha Tin Heights Tunnel (Sht),Insitutional Building/Others (學校/醫院/其他用途),
TS,628,Tsing Sha Highway,,Sha Tin Heights Tunnel North Portal Building (Sht-Npb),Insitutional Building/Others (學校/醫院/其他用途),
TS,629,Tsing Sha Highway,,Sha Tin Heights Tunnel South Portal Building (Sht-Npb),Insitutional Building/Others (學校/醫院/其他用途),
TS,630,Heung Fan Liu New Village,,"Shatin 400kv Substation, Sttl 315",Insitutional Building/Others (學校/醫院/其他用途),
TS,631,,,Shatin Government Primary School - Sip Block (Sun Tin Wai Estate),Insitutional Building/Others (學校/醫院/其他用途),
TS,632,,,Shatin Government Primary School (Sun Tin Wai Estate),Insitutional Building/Others (學校/醫院/其他用途),
TS,633,"Man Lai Road, Dd 179 Lot 774, Shatin, N.T.",14-16,Shatin Pccw Telephone Exchange,Insitutional Building/Others (學校/醫院/其他用途),
TS,634,,,"Shatin West Fresh Water Pump House, Sha Tin, N.T.",Insitutional Building/Others (學校/醫院/其他用途),
TS,635,Sheung Keng Hau Village,102,Sheung Keng Hau Village,Domestic Building (住宅),
TS,636,Chui Tin St,2,Sun Chui Estate - Carpark A (Near Sun Ming Hse),Insitutional Building/Others (學校/醫院/其他用途),
TS,637,Chui Tin St,2,Sun Chui Estate - Carpark B (Sun Yee House),Insitutional Building/Others (學校/醫院/其他用途),
TS,638,Chui Tin St,2,Sun Chui Estate - Carpark C (Near Sun Chun House),Insitutional Building/Others (學校/醫院/其他用途),
TS,639,Chui Tin St,2,Sun Chui Estate - Cooked Food Stalls,Insitutional Building/Others (學校/醫院/其他用途),
TS,640,Chui Tin St,2,2 Chui Tin Street Sun Chui Estate - Wet Market,Composite Building (綜合式樓宇),
TS,641,,,"Rooftop, Sun Yee House, Sun Chui Estate",Composite Building (綜合式樓宇),
TS,642,Shatin Tau Road,,Sun Tin Wai Estate - Market Stall,Composite Building (綜合式樓宇),
TS,643,Shatin Tau Road,,Sun Tin Wai Estate - Commercial Complex,Composite Building (綜合式樓宇),
TS,644,Tsuen Nam Road,41-45,Tai On Building,Composite Building (綜合式樓宇),
TS,645,Tsuen Nam Road,47-51,Tai On Building,Composite Building (綜合式樓宇),
TS,646,Shing Ho Road,,"Tai Wai Public Toilet & Bathhouse, Refuse Collection Point",Insitutional Building/Others (學校/醫院/其他用途),
TS,647,Tsing Sha Highway,,"Tsing Sha Highway, Tai Wai South & North Switch Room",Insitutional Building/Others (學校/醫院/其他用途),
TS,648,Tsing Sha Highway,,"Tsing Sha Highway, Tai Wai Tunnel",Insitutional Building/Others (學校/醫院/其他用途),
TS,649,Tung Lo Wan Hill Road,8,The Great Hill 嘉御山 - House 1,Domestic Building (住宅),
TS,650,Tung Lo Wan Hill Road,8,The Great Hill 嘉御山 - Podium [Sfh-Tank],Insitutional Building/Others (學校/醫院/其他用途),
TS,651,Che Kung Miu Road,8,"The Riverpark - Club House, Carpark, Shops, Kindergarten {Fe Design Adopted}",Insitutional Building/Others (學校/醫院/其他用途),
TS,652,Che Kung Miu Road,8,The Riverpark - Tower 1,Domestic Building (住宅),
TS,653,Che Kung Miu Road,8,The Riverpark - Tower 2,Domestic Building (住宅),
TS,654,Che Kung Miu Road,8,The Riverpark - Tower 3,Domestic Building (住宅),
TS,655,Che Kung Miu Road,8,The Riverpark - Tower 5,Domestic Building (住宅),
TS,656,Tin Sam Street,,Tin Sam Public Toilet,Insitutional Building/Others (學校/醫院/其他用途),
TS,657,Tin Sam St,,Tin Sam Village 260-264,Domestic Building (住宅),
TS,658,Tin Sam Street,,"Tin Sam Village No 258, Dd 189, Lot 1679",Domestic Building (住宅),
TS,659,Fu Kin Street,2,Tin Sum Ambulance Depot,Insitutional Building/Others (學校/醫院/其他用途),
TS,660,Hin Keng Street,2,Tin Sum Divisional Police Station,Insitutional Building/Others (學校/醫院/其他用途),
TS,661,Fu Kin Street,2,Tin Sum Fire Station,Insitutional Building/Others (學校/醫院/其他用途),
TS,662,,,To Shek Fresh Water Pumping Station,Insitutional Building/Others (學校/醫院/其他用途),
TS,663,Mei Tin Road,1,"Tower 1 , Festival City (Phase 2)",Domestic Building (住宅),
TS,664,Mei Tin Road,1,"Tower 2 , Festival City (Phase 1)",Domestic Building (住宅),
TS,665,Mei Tin Road,1,"Tower 3 , Festival City (Phase 1)",Domestic Building (住宅),
TS,666,Mei Tin Road,1,"Tower 5 , Festival City (Phase 1)",Domestic Building (住宅),
TS,667,Sha Kok Street,,Tsang Tai Uk Playground,Insitutional Building/Others (學校/醫院/其他用途),
TS,668,Mei Tin Road,63,Tung Lo Wan Hill Road Garden - Rcp,Insitutional Building/Others (學校/醫院/其他用途),
TS,669,Mei Tin Road,63,Tung Lo Wan Hill Road Garden,Insitutional Building/Others (學校/醫院/其他用途),
TS,670,"Tung Lo Wan Village Pccw Telephone Exchange, Tung Lo Wan Village, Shatin, N.T.",,"Tung Lo Wan Village Pccw Telephone Exchange, Tung Lo Wan Village, Shatin, N.T.",Insitutional Building/Others (學校/醫院/其他用途),
TS,671,Mei Tin Road,25,"Water Fecture Pump Room , Mei Chung Court",Insitutional Building/Others (學校/醫院/其他用途),
TS,672,Tai Po Road,8006,Woodcrest Hill - Block 16,Domestic Building (住宅),
TS,673,Tai Po Road,8006,Woodcrest Hill - Lpg Store,Insitutional Building/Others (學校/醫院/其他用途),
TS,674,Lung Pak Street,1-3,World-Wide Gardens - Sewage Treatment Plant & Others,Insitutional Building/Others (學校/醫院/其他用途),
TS,675,Lung Pak Street,2-4,"World-Wide Gardens - Carpark (U閘下層(Block 1-2, 2-4 Lung Pak St)",Insitutional Building/Others (學校/醫院/其他用途),
TS,676,FUNG SHEK ST,2,WING SHING HSE (BLK A),Domestic Building (住宅),
TS,677,Hin Wo Lane,3,Hin Yiu Estate Hin Yiu House,Domestic Building (住宅),
TS,678,Che Kung Miu Road,69,Hin Keng Estate Hin Yau House (Block 5),Domestic Building (住宅),
TS,679,Che Kung Miu Road,69,Hin Keng Estate Hin Yeung House (Block 3),Domestic Building (住宅),
